univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;pub-podiel-07711;pub-podiel-07712;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd
UK;95623262;29528162;0;9277513;NA;1238;NA;26504;19684;23,53958906;25,31910794;NA;10893;9461;754640
UPJŠ;29377578;8341987;0;2471553;NA;336;NA;7837;5677;7,733496018;8,646408388;NA;1826;1718;132160
PU;21135921;7022726;0;3781275;NA;158;NA;9412;6759;5,363718339;4,35700014;NA;1934;1964;157120
UCM;11162466;4334052;0;1161794;NA;93;NA;6165;4336;2,620609531;2,460805462;NA;224;201;6432
UVL;12244578;4935390;0;877891;NA;97;NA;2239;1977;2,071509763;1,974464673;NA;902;760;60800
UKF;21512826;7615253;0;2502876;NA;196;NA;9958;6894;5,172029656;4,265257039;NA;1686;1677;134160
UMB;20546007;6502192;0;2995466;NA;201;NA;9988;6793;4,697344958;3,958908696;NA;2434;2281;160816
TVU;11162890;3799201;0;948751;NA;75;NA;5499;3575;3,097481716;2,368491549;NA;300;300;9600
STU;59878811;17720601;0;6751201;NA;719;NA;15411;12940;12,38810396;14,27314801;NA;6530;6528;519264
TUKE;40491181;12752121;0;4897215;NA;393;NA;10633;8622;10,90438008;11,57262162;NA;4986;4126;330080
ŽU;32332491;9546045;0;4526041;NA;278;NA;10162;8366;4,815145188;5,095294923;NA;5002;4247;305616
TUAD;5989702;2084582;0;528429;NA;39;NA;2958;1951;1,315732974;1,359740623;NA;215;142;11360
EU;18961793;6816132;0;2495740;NA;162;NA;9336;7226;4,250895047;3,757983234;NA;2558;2672;192032
SPU;22448022;7583985;0;2501905;NA;161;NA;8704;6468;4,271514138;4,050937203;NA;2736;2608;195488
TUZVO;12228681;3843880;0;1443465;NA;84;NA;3863;2763;3,20483062;2,980479643;NA;1486;1355;108400
VŠMU;5372616;2269399;0;195731;NA;46;NA;1032;895;0,141214444;0,071498995;NA;;0;0
VŠVU;4243782;1569150;0;100109;NA;30;NA;635;534;0,213847117;0,05157966;NA;;0;0
AU;3516930;1487361;0;64124;NA;26;NA;548;497;0,168517524;0,05641187;NA;136;108;6912
KU;11546957;4310846;0;910995;NA;134;NA;6016;3939;2,971539173;2,471473722;NA;678;359;17920
UJS;3549180;1337832;0;494675;NA;15;NA;1773;1265;1,058500696;0,908386611;NA;413;372;29760
